id,timestamp,session_id,task_id,object_id,label,bridge_status,in_tray_vlm,vlm_confidence,cycle_time_s,detail_json
1,2026-05-11T10:54:05.220431,session_20260511_104514,1,obj_001,,completed,,,60.763817,"{""detail"": """", ""error"": null}"
2,2026-05-11T10:57:56.580603,session_20260511_104514,1,obj_002,,completed,,,56.678109,"{""detail"": """", ""error"": null}"
3,2026-05-11T11:01:52.837066,session_20260511_104514,1,obj_003,,failed,,,62.029083,"{""detail"": """", ""error"": null}"
4,2026-05-11T11:19:33.529520,session_20260511_111225,1,obj_001,,completed,,,56.303568,"{""detail"": """", ""error"": null}"
5,2026-05-11T11:23:43.146838,session_20260511_111225,1,obj_002,,failed,,,62.025276,"{""detail"": """", ""error"": null}"
6,2026-05-11T11:37:55.102689,session_20260511_113234,1,obj_002,,completed,,,57.182907,"{""detail"": """", ""error"": ""VLM call failed: VLM raw call failed after 3 attempts. Last error: Failed to parse VLM response as JSON. Response starts with: {  \n\n\""calcalaleCalcal).ecal)calcalcalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCal""}"
7,2026-05-11T11:53:17.959582,session_20260511_114801,1,obj_004,,completed,,,48.712508,"{""detail"": """", ""error"": null}"
8,2026-05-11T11:56:31.601043,session_20260511_114801,1,obj_005,,completed,,,53.571526,"{""detail"": """", ""error"": null}"
9,2026-05-11T12:28:07.859170,session_20260511_122130,2,obj_004,,completed,,,55.561169,"{""detail"": """", ""error"": null}"
10,2026-05-11T12:34:52.130387,session_20260511_122130,2,obj_005,,failed,,,62.049844,"{""detail"": """", ""error"": null}"
11,2026-05-11T15:37:12.440344,session_20260511_152839,1,obj_004,,completed,,,54.475404,"{""detail"": """", ""error"": null}"
12,2026-05-11T15:42:59.333804,session_20260511_152839,1,obj_004,,completed,,,53.209741,"{""detail"": """", ""error"": null}"
13,2026-05-11T15:46:56.336971,session_20260511_152839,1,obj_005,,completed,,,54.306314,"{""detail"": """", ""error"": null}"
14,2026-05-11T15:54:55.818506,session_20260511_154913,1,obj_001,,completed,,,58.025262,"{""detail"": """", ""error"": ""Unable to parse VLM response as JSON""}"
15,2026-05-11T16:02:12.122641,session_20260511_155550,1,obj_002,,failed,,,62.037206,"{""detail"": """", ""error"": null}"
16,2026-05-11T16:09:53.673946,session_20260511_160412,1,obj_001,,completed,,,55.634932,"{""detail"": """", ""error"": null}"
17,2026-05-11T16:26:54.213533,session_20260511_162136,1,obj_001,,completed,,,56.710661,"{""detail"": """", ""error"": ""Unable to parse VLM response as JSON""}"
18,2026-05-11T16:35:43.596789,session_20260511_162958,1,obj_001,,completed,,,57.585699,"{""detail"": """", ""error"": null}"
19,2026-05-11T16:47:21.856855,session_20260511_163952,1,obj_001,,completed,,,56.959112,"{""detail"": """", ""error"": null}"
20,2026-05-11T16:56:57.838225,session_20260511_165152,1,obj_001,,completed,,,56.651805,"{""detail"": """", ""error"": null}"
21,2026-05-11T17:08:22.581821,session_20260511_170222,1,obj_001,,completed,,,55.032471,"{""detail"": """", ""error"": null}"
22,2026-05-11T17:24:56.253606,session_20260511_171739,1,obj_001,,completed,,,55.894214,"{""detail"": """", ""error"": null}"
23,2026-05-11T17:35:50.952952,session_20260511_172747,1,obj_001,,completed,,,56.375536,"{""detail"": """", ""error"": null}"
24,2026-05-11T17:54:23.971641,session_20260511_174611,1,obj_004,,failed,,,62.06095,"{""detail"": """", ""error"": null}"
25,2026-05-11T18:02:15.321567,session_20260511_175608,1,obj_004,,completed,,,58.159252,"{""detail"": """", ""error"": ""VLM call failed: VLM raw call failed after 3 attempts. Last error: Failed to parse VLM response as JSON. Response starts with: {\n\n\""ee eeeecal]e<|im_start|>Calcal theCalCal ecal] eCal e] eCalcalcalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCalCal""}"
26,2026-05-11T18:15:04.888380,session_20260511_180913,1,obj_004,,completed,,,53.209375,"{""detail"": """", ""error"": ""Unable to parse VLM response as JSON""}"
27,2026-05-11T18:21:56.830203,session_20260511_181551,1,obj_004,,completed,,,57.678996,"{""detail"": """", ""error"": ""VLM call failed: VLM raw call failed after 3 attempts. Last error: Failed to parse VLM response as JSON. Response starts with: {""}"
28,2026-05-11T18:30:04.361273,session_20260511_182354,1,obj_004,,failed,,,62.057124,"{""detail"": """", ""error"": null}"
29,2026-05-11T18:39:58.988503,session_20260511_183348,1,obj_004,,completed,,,61.725176,"{""detail"": """", ""error"": ""VLM call failed: VLM raw call failed after 3 attempts. Last error: Failed to parse VLM response as JSON. Response starts with: {""}"
30,2026-05-11T18:47:53.593751,session_20260511_184126,1,obj_004,,completed,,,59.565706,"{""detail"": """", ""error"": null}"
31,2026-05-11T19:01:48.097829,session_20260511_185532,1,obj_004,,failed,,,62.027809,"{""detail"": """", ""error"": null}"
32,2026-05-11T19:15:11.891137,session_20260511_190840,1,obj_001,,failed,,,62.062034,"{""detail"": """", ""error"": null}"
33,2026-05-11T19:37:37.442177,session_20260511_193123,1,obj_003,,failed,,,62.049631,"{""detail"": """", ""error"": null}"
34,2026-05-11T19:47:47.799510,session_20260511_194123,1,obj_001,,failed,,,62.055454,"{""detail"": """", ""error"": null}"
