id,timestamp,session_id,task_id,command,vlm_model,llm_model,targeted_count,placed_count,success,end_to_end_s,detail_json
1,2026-05-11T11:02:11.776140,session_20260511_104514,1,Pick all the gears and place them into the kitting tray,gemma4:e4b,llama3.1:8b,3,2,1,791.859405,"{""final_status"": ""completed"", ""error"": """"}"
2,2026-05-11T11:27:33.339406,session_20260511_111225,1,Pick all the gears and place them into the kitting tray,gemma4:e4b,llama3.1:8b,5,1,0,863.391217,"{""final_status"": ""failed"", ""error"": """"}"
3,2026-05-11T11:40:59.869835,session_20260511_113234,1,Pick all the gears and place them into the kitting tray,gemma4:e4b,llama3.1:8b,2,0,0,468.172065,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
4,2026-05-11T11:57:29.683338,session_20260511_114801,1,Pick all the motor valve and place them into the kitting tray,gemma4:e4b,llama3.1:8b,3,2,0,530.775226,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
5,2026-05-11T12:36:50.599416,session_20260511_122130,2,Pick all the motor valve and place them into the kitting tray,gemma4:e4b,llama3.1:8b,3,1,0,795.337487,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
6,2026-05-11T15:47:23.031139,session_20260511_152839,1,Pick all the motor valve and place them into the kitting tray,gemma4:e4b,llama3.1:8b,4,3,1,943.465464,"{""final_status"": ""completed"", ""error"": """"}"
7,2026-05-11T15:55:23.375393,session_20260511_154913,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,329.924481,"{""final_status"": ""completed"", ""error"": """"}"
8,2026-05-11T16:02:53.242108,session_20260511_155550,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,358.871343,"{""final_status"": ""completed"", ""error"": """"}"
9,2026-05-11T16:10:20.967785,session_20260511_160412,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,312.954238,"{""final_status"": ""completed"", ""error"": """"}"
10,2026-05-11T16:27:21.542497,session_20260511_162136,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,305.872829,"{""final_status"": ""completed"", ""error"": """"}"
11,2026-05-11T16:36:10.937030,session_20260511_162958,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,320.285988,"{""final_status"": ""completed"", ""error"": """"}"
12,2026-05-11T16:47:49.107721,session_20260511_163952,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,426.427342,"{""final_status"": ""completed"", ""error"": """"}"
13,2026-05-11T16:57:25.228339,session_20260511_165152,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,293.579875,"{""final_status"": ""completed"", ""error"": """"}"
14,2026-05-11T17:08:49.142384,session_20260511_170222,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,314.498416,"{""final_status"": ""completed"", ""error"": """"}"
15,2026-05-11T17:25:23.224189,session_20260511_171739,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,309.201467,"{""final_status"": ""completed"", ""error"": """"}"
16,2026-05-11T17:36:18.144746,session_20260511_172747,1,Pick one gear and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,322.053225,"{""final_status"": ""completed"", ""error"": """"}"
17,2026-05-11T17:54:47.287454,session_20260511_174611,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,330.481353,"{""final_status"": ""completed"", ""error"": """"}"
18,2026-05-11T18:02:43.047860,session_20260511_175608,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,338.931853,"{""final_status"": ""completed"", ""error"": """"}"
19,2026-05-11T18:15:33.125094,session_20260511_180913,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,329.828441,"{""final_status"": ""completed"", ""error"": """"}"
20,2026-05-11T18:22:24.523241,session_20260511_181551,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,345.245029,"{""final_status"": ""completed"", ""error"": """"}"
21,2026-05-11T18:30:26.962927,session_20260511_182354,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,338.912433,"{""final_status"": ""completed"", ""error"": """"}"
22,2026-05-11T18:40:27.113579,session_20260511_183348,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,354.21659,"{""final_status"": ""completed"", ""error"": """"}"
23,2026-05-11T18:48:21.630101,session_20260511_184126,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,1,1,331.361615,"{""final_status"": ""completed"", ""error"": """"}"
24,2026-05-11T18:54:00.675107,session_20260511_185045,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,0,130.853613,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
25,2026-05-11T19:02:15.288034,session_20260511_185532,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,1,342.490656,"{""final_status"": ""completed"", ""error"": """"}"
26,2026-05-11T19:07:16.494764,session_20260511_190355,1,Pick one motor valve and place it in the kitting tray,gemma4:e4b,llama3.1:8b,1,0,0,127.271226,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
27,2026-05-11T19:19:13.314806,session_20260511_190840,1,Pick all the parts and place them into kitting tray,gemma4:e4b,llama3.1:8b,3,0,0,566.610521,"{""final_status"": ""error"", ""error"": ""Overhead depth projection failed after retries""}"
28,2026-05-11T19:25:46.116514,session_20260511_192220,1,Pick all the parts and place them into kitting tray,gemma4:e4b,llama3.1:8b,1,0,0,147.629211,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
29,2026-05-11T19:41:07.521453,session_20260511_193123,1,Pick all the parts and place them into kitting tray,gemma4:e4b,llama3.1:8b,3,0,0,542.305144,"{""final_status"": ""error"", ""error"": ""Overhead depth projection failed after retries""}"
30,2026-05-11T19:51:22.908024,session_20260511_194123,1,Pick all the parts and place them into kitting tray,gemma4:e4b,llama3.1:8b,3,0,0,556.28056,"{""final_status"": ""error"", ""error"": ""Overhead depth projection failed after retries""}"
31,2026-07-02T18:57:56.552316,session_20260702_185429,1,Pick gear and place it in the kitting tray,gemma4:e2b,llama3.1:8b,1,1,1,179.400518,"{""final_status"": ""completed"", ""error"": """"}"
32,2026-07-02T19:30:04.504306,session_20260702_192635,1,Pick gear and place it into the kitting tray,gemma4:e2b,llama3.1:8b,1,0,0,169.476942,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
33,2026-07-06T13:53:28.472248,session_20260706_124946,1,Pick gear and place it in the kitting tray,gemma4:e2b,llama3.1:8b,2,0,0,222.523848,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
34,2026-07-06T15:17:20.727536,session_20260706_151204,1,Pick gear and place it in the kitting tray,gemma4:e2b,llama3.1:8b,1,0,0,242.33458,"{""final_status"": ""error"", ""error"": ""Re-capture failed: Re-capture returned placeholder image (bridge unreachable). Aborting retry instead of feeding hallucinated parts into the planner.""}"
35,2026-07-06T15:35:29.442075,session_20260706_153135,1,Pick gear and place it in the kitting tray,gemma4:e2b,llama3.1:8b,1,0,1,199.168748,"{""final_status"": ""completed"", ""error"": """"}"
36,2026-07-06T16:46:49.507877,session_20260706_164244,1,Pick motor valve and place it into the kitting Tray,gemma4:e2b,llama3.1:8b,1,1,1,193.420234,"{""final_status"": ""completed"", ""error"": """"}"
37,2026-07-06T17:46:34.065155,session_20260706_174238,1,Pick gear and place it into the kitting tray,gemma4:e2b,llama3.1:8b,1,0,1,203.281746,"{""final_status"": ""completed"", ""error"": """"}"
